,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_learning_rate,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_subsample,params
0,0.9058413251961639,0.9075850043591979,0.900523560209424,0.9046511627906977,0.0030029998670811613,25,0.7095239957173666,8.204586510120704e-06,0.020832379659016926,0.007365695660511825,0.002107681249770302,0.15548655863280092,3.331980983333953e-05,0.01955630450001451,25,44,1,63,49,0.8380437488771677,"OrderedDict([('alpha', 0.002107681249770302), ('colsample_bytree', 0.15548655863280092), ('lambda', 3.331980983333953e-05), ('learning_rate', 0.01955630450001451), ('max_depth', 25), ('min_child_samples', 44), ('min_child_weight', 1), ('n_estimators', 63), ('num_leaves', 49), ('subsample', 0.8380437488771677)])"
1,0.9389712292938099,0.9407149084568439,0.9511343804537522,0.9436046511627907,0.005369411495490366,4,1.0739131768544514,0.013303617955144665,0.026479562123616535,0.007688396677500876,0.0014191129358860485,0.4011458906809745,2.253905381018277e-09,0.07405425417827127,21,37,0,68,86,0.97361656350803,"OrderedDict([('alpha', 0.0014191129358860485), ('colsample_bytree', 0.4011458906809745), ('lambda', 2.253905381018277e-09), ('learning_rate', 0.07405425417827127), ('max_depth', 21), ('min_child_samples', 37), ('min_child_weight', 0), ('n_estimators', 68), ('num_leaves', 86), ('subsample', 0.97361656350803)])"
2,0.9075850043591979,0.8997384481255449,0.9144851657940664,0.9072674418604652,0.006024072570645581,23,0.6503372192382812,0.02655553860203236,0.03146719932556152,0.0003096968936123341,0.029757134630289256,0.11210414545821715,1.7314688020982822,0.0363279695074096,23,34,7,68,98,0.7043752238884904,"OrderedDict([('alpha', 0.029757134630289256), ('colsample_bytree', 0.11210414545821715), ('lambda', 1.7314688020982822), ('learning_rate', 0.0363279695074096), ('max_depth', 23), ('min_child_samples', 34), ('min_child_weight', 7), ('n_estimators', 68), ('num_leaves', 98), ('subsample', 0.7043752238884904)])"
3,0.9311246730601569,0.9224062772449869,0.9363001745200699,0.9299418604651163,0.005733109306245,17,0.8413771788279215,0.012888107079570516,0.029001394907633465,0.0067887010815441805,0.0021426951012001308,0.47041569591763044,2.8250146152751187e-08,0.06366995699596882,21,44,10,81,54,0.823873025266173,"OrderedDict([('alpha', 0.0021426951012001308), ('colsample_bytree', 0.47041569591763044), ('lambda', 2.8250146152751187e-08), ('learning_rate', 0.06366995699596882), ('max_depth', 21), ('min_child_samples', 44), ('min_child_weight', 10), ('n_estimators', 81), ('num_leaves', 54), ('subsample', 0.823873025266173)])"
4,0.9354838709677419,0.9311246730601569,0.9406631762652705,0.9357558139534884,0.0038985415548651453,12,0.7694958051045736,0.016265920880297453,0.021676381429036457,0.0028421654070703646,0.07928046473600696,0.4235608075984558,2.039931637924683e-09,0.1385669035760294,24,23,7,75,88,0.6770325653097798,"OrderedDict([('alpha', 0.07928046473600696), ('colsample_bytree', 0.4235608075984558), ('lambda', 2.039931637924683e-09), ('learning_rate', 0.1385669035760294), ('max_depth', 24), ('min_child_samples', 23), ('min_child_weight', 7), ('n_estimators', 75), ('num_leaves', 88), ('subsample', 0.6770325653097798)])"
5,0.9136878814298169,0.9197907585004359,0.9223385689354275,0.9186046511627907,0.003629644047524909,21,1.080203374226888,0.029610495473172228,0.021039406458536785,0.007231661705960691,0.5106133530537277,0.48831290154495777,0.014932512122258476,0.024890807719120164,32,0,7,65,72,0.7334407340772909,"OrderedDict([('alpha', 0.5106133530537277), ('colsample_bytree', 0.48831290154495777), ('lambda', 0.014932512122258476), ('learning_rate', 0.024890807719120164), ('max_depth', 32), ('min_child_samples', 0), ('min_child_weight', 7), ('n_estimators', 65), ('num_leaves', 72), ('subsample', 0.7334407340772909)])"
6,0.9250217959895379,0.923278116826504,0.9328097731239092,0.9270348837209302,0.004143310227983257,19,0.8736309210459391,0.008136355885887452,0.02943531672159831,0.004554996724387105,0.0007038195949977947,0.1870471358367638,0.01665307343246502,0.057290081534939315,12,41,6,73,89,0.507426883976751,"OrderedDict([('alpha', 0.0007038195949977947), ('colsample_bytree', 0.1870471358367638), ('lambda', 0.01665307343246502), ('learning_rate', 0.057290081534939315), ('max_depth', 12), ('min_child_samples', 41), ('min_child_weight', 6), ('n_estimators', 73), ('num_leaves', 89), ('subsample', 0.507426883976751)])"
7,0.93025283347864,0.918918918918919,0.9240837696335078,0.9244186046511628,0.004633771174896828,20,0.4562428792317708,0.007251287139314508,0.018989086151123047,0.002023723078099088,7.003402338794183e-07,0.7649914723977279,7.950894187851702,0.12355876464076353,32,2,5,50,15,0.7870849295764947,"OrderedDict([('alpha', 7.003402338794183e-07), ('colsample_bytree', 0.7649914723977279), ('lambda', 7.950894187851702), ('learning_rate', 0.12355876464076353), ('max_depth', 32), ('min_child_samples', 2), ('min_child_weight', 5), ('n_estimators', 50), ('num_leaves', 15), ('subsample', 0.7870849295764947)])"
8,0.9311246730601569,0.9311246730601569,0.9432809773123909,0.9351744186046511,0.005729703308885212,14,1.029372771581014,0.01674853852837205,0.02711311976114909,0.010331080812613408,1.063691222396563e-05,0.5666965754517326,24.829873319807408,0.22912899063527542,22,24,3,96,35,0.6744128576493404,"OrderedDict([('alpha', 1.063691222396563e-05), ('colsample_bytree', 0.5666965754517326), ('lambda', 24.829873319807408), ('learning_rate', 0.22912899063527542), ('max_depth', 22), ('min_child_samples', 24), ('min_child_weight', 3), ('n_estimators', 96), ('num_leaves', 35), ('subsample', 0.6744128576493404)])"
9,0.9433304272013949,0.9389712292938099,0.9485165794066318,0.9436046511627907,0.0039014130539666383,4,0.7226318518320719,0.01960583662052544,0.021106878916422527,0.007739232020828134,1.1176346558801303e-08,0.7060830767861989,0.032275672553322046,0.3039426848104651,43,18,7,96,96,0.8349147196404216,"OrderedDict([('alpha', 1.1176346558801303e-08), ('colsample_bytree', 0.7060830767861989), ('lambda', 0.032275672553322046), ('learning_rate', 0.3039426848104651), ('max_depth', 43), ('min_child_samples', 18), ('min_child_weight', 7), ('n_estimators', 96), ('num_leaves', 96), ('subsample', 0.8349147196404216)])"
