,libraries
50,84.24% (+/- 1.75%)
75,85.17% (+/- 1.81%)
100,85.42% (+/- 1.66%)
125,85.52% (+/- 1.73%)
150,85.61% (+/- 1.7%)
175,85.75% (+/- 1.7%)
200,86.1% (+/- 1.58%)
225,85.88% (+/- 1.77%)
250,85.85% (+/- 1.75%)
275,85.85% (+/- 1.72%)
300,85.75% (+/- 1.65%)
325,86.21% (+/- 1.64%)
350,85.75% (+/- 1.63%)
375,85.61% (+/- 1.79%)
400,85.98% (+/- 1.74%)
425,85.75% (+/- 1.62%)
450,85.98% (+/- 1.65%)
475,85.85% (+/- 1.71%)
500,85.88% (+/- 1.7%)
525,85.61% (+/- 1.61%)
550,85.86% (+/- 1.54%)
