,analysis
100,90.6% (+/- 1.34%)
150,90.47% (+/- 1.08%)
200,90.6% (+/- 1.3%)
250,90.72% (+/- 1.13%)
300,90.71% (+/- 1.17%)
350,90.26% (+/- 1.29%)
400,90.82% (+/- 1.35%)
450,90.48% (+/- 1.27%)
500,90.48% (+/- 1.15%)
550,90.47% (+/- 1.26%)
600,90.6% (+/- 1.3%)
650,90.58% (+/- 1.36%)
700,90.71% (+/- 1.18%)
750,90.49% (+/- 1.41%)
800,90.6% (+/- 1.16%)
850,90.82% (+/- 1.22%)
900,90.71% (+/- 1.38%)
950,90.36% (+/- 1.43%)
1000,90.26% (+/- 1.38%)
