,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_learning_rate,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_subsample,params
0,0.7447795823665894,0.7478731631863882,0.7507739938080495,0.7478081485301702,0.0024474822386004445,28,0.36729955673217773,0.04477762511253817,0.021133263905843098,0.00716041410084066,0.002107681249770302,0.15548655863280092,3.331980983333953e-05,0.01955630450001451,25,44,1,63,49,0.8380437488771677,"OrderedDict([('alpha', 0.002107681249770302), ('colsample_bytree', 0.15548655863280092), ('lambda', 3.331980983333953e-05), ('learning_rate', 0.01955630450001451), ('max_depth', 25), ('min_child_samples', 44), ('min_child_weight', 1), ('n_estimators', 63), ('num_leaves', 49), ('subsample', 0.8380437488771677)])"
1,0.8623356535189481,0.8654292343387471,0.8668730650154799,0.8648788035069623,0.0018927369710579475,13,0.684767484664917,0.06568888070428214,0.02618090311686198,0.0074310252995825775,0.0014191129358860485,0.4011458906809745,2.253905381018277e-09,0.07405425417827127,21,37,0,68,86,0.97361656350803,"OrderedDict([('alpha', 0.0014191129358860485), ('colsample_bytree', 0.4011458906809745), ('lambda', 2.253905381018277e-09), ('learning_rate', 0.07405425417827127), ('max_depth', 21), ('min_child_samples', 37), ('min_child_weight', 0), ('n_estimators', 68), ('num_leaves', 86), ('subsample', 0.97361656350803)])"
2,0.8097447795823666,0.7679814385150812,0.7321981424148607,0.7699845281072718,0.031687922156765455,26,0.3541561762491862,0.038761895221310905,0.020847876866658527,0.007352403262531648,0.029757134630289256,0.11210414545821715,1.7314688020982822,0.0363279695074096,23,34,7,68,98,0.7043752238884904,"OrderedDict([('alpha', 0.029757134630289256), ('colsample_bytree', 0.11210414545821715), ('lambda', 1.7314688020982822), ('learning_rate', 0.0363279695074096), ('max_depth', 23), ('min_child_samples', 34), ('min_child_weight', 7), ('n_estimators', 68), ('num_leaves', 98), ('subsample', 0.7043752238884904)])"
3,0.8654292343387471,0.8615622583139985,0.871517027863777,0.8661681279009799,0.0040972179542819575,12,0.6059635480244955,0.0389894797899957,0.026039997736612957,0.007364346961363718,0.0021426951012001308,0.47041569591763044,2.8250146152751187e-08,0.06366995699596882,21,44,10,81,54,0.823873025266173,"OrderedDict([('alpha', 0.0021426951012001308), ('colsample_bytree', 0.47041569591763044), ('lambda', 2.8250146152751187e-08), ('learning_rate', 0.06366995699596882), ('max_depth', 21), ('min_child_samples', 44), ('min_child_weight', 10), ('n_estimators', 81), ('num_leaves', 54), ('subsample', 0.823873025266173)])"
4,0.8638824439288476,0.8692962103634957,0.8753869969040248,0.8695203713254255,0.004699086032773666,8,0.6430355707804362,0.04856450921631975,0.021991729736328125,0.00713746601500384,0.07928046473600696,0.4235608075984558,2.039931637924683e-09,0.1385669035760294,24,23,7,75,88,0.6770325653097798,"OrderedDict([('alpha', 0.07928046473600696), ('colsample_bytree', 0.4235608075984558), ('lambda', 2.039931637924683e-09), ('learning_rate', 0.1385669035760294), ('max_depth', 24), ('min_child_samples', 23), ('min_child_weight', 7), ('n_estimators', 75), ('num_leaves', 88), ('subsample', 0.6770325653097798)])"
5,0.8615622583139985,0.8553750966744006,0.8668730650154799,0.8612686952037133,0.0046983126193284735,15,0.8862756093343099,0.025610475720559047,0.0318598747253418,0.0008619880106860268,0.5106133530537277,0.48831290154495777,0.014932512122258476,0.024890807719120164,32,0,7,65,72,0.7334407340772909,"OrderedDict([('alpha', 0.5106133530537277), ('colsample_bytree', 0.48831290154495777), ('lambda', 0.014932512122258476), ('learning_rate', 0.024890807719120164), ('max_depth', 32), ('min_child_samples', 0), ('min_child_weight', 7), ('n_estimators', 65), ('num_leaves', 72), ('subsample', 0.7334407340772909)])"
6,0.8321732405259087,0.819798917246713,0.8065015479876161,0.8194945848375451,0.010481958231553398,19,0.4362984498341878,0.040172476240718104,0.026039838790893555,0.00736474071078942,0.0007038195949977947,0.1870471358367638,0.01665307343246502,0.057290081534939315,12,41,6,73,89,0.507426883976751,"OrderedDict([('alpha', 0.0007038195949977947), ('colsample_bytree', 0.1870471358367638), ('lambda', 0.01665307343246502), ('learning_rate', 0.057290081534939315), ('max_depth', 12), ('min_child_samples', 41), ('min_child_weight', 6), ('n_estimators', 73), ('num_leaves', 89), ('subsample', 0.507426883976751)])"
7,0.8584686774941995,0.8553750966744006,0.8630030959752322,0.8589479112944817,0.0031323080988770436,17,0.3094932238260905,0.009514962059852125,0.019289493560791016,0.00407644318797367,7.003402338794183e-07,0.7649914723977279,7.950894187851702,0.12355876464076353,32,2,5,50,15,0.7870849295764947,"OrderedDict([('alpha', 7.003402338794183e-07), ('colsample_bytree', 0.7649914723977279), ('lambda', 7.950894187851702), ('learning_rate', 0.12355876464076353), ('max_depth', 32), ('min_child_samples', 2), ('min_child_weight', 5), ('n_estimators', 50), ('num_leaves', 15), ('subsample', 0.7870849295764947)])"
8,0.8677494199535963,0.8785769528228925,0.8777089783281734,0.8746776689014956,0.0049127536348295845,4,0.8640708923339844,0.03821382002289917,0.03124713897705078,0.01275717507758752,1.063691222396563e-05,0.5666965754517326,24.829873319807408,0.22912899063527542,22,24,3,96,35,0.6744128576493404,"OrderedDict([('alpha', 1.063691222396563e-05), ('colsample_bytree', 0.5666965754517326), ('lambda', 24.829873319807408), ('learning_rate', 0.22912899063527542), ('max_depth', 22), ('min_child_samples', 24), ('min_child_weight', 3), ('n_estimators', 96), ('num_leaves', 35), ('subsample', 0.6744128576493404)])"
9,0.877030162412993,0.8739365815931941,0.8839009287925697,0.8782877772047447,0.004163772711962704,2,0.6247603098551432,0.012757389942368502,0.03650657335917155,0.007435266035301852,1.1176346558801303e-08,0.7060830767861989,0.032275672553322046,0.3039426848104651,43,18,7,96,96,0.8349147196404216,"OrderedDict([('alpha', 1.1176346558801303e-08), ('colsample_bytree', 0.7060830767861989), ('lambda', 0.032275672553322046), ('learning_rate', 0.3039426848104651), ('max_depth', 43), ('min_child_samples', 18), ('min_child_weight', 7), ('n_estimators', 96), ('num_leaves', 96), ('subsample', 0.8349147196404216)])"
