iter	Logloss
0	0.6858875263
1	0.6783032528
2	0.6711278172
3	0.6634727295
4	0.6570292149
5	0.6510550076
6	0.6434060652
7	0.6375904313
8	0.6314317641
9	0.6254930136
10	0.6200333081
11	0.6144481249
12	0.6092020066
13	0.6039688904
14	0.5985759986
15	0.5939118104
16	0.5898847843
17	0.5864857659
18	0.5821980686
19	0.5782372751
20	0.5744373325
21	0.5708667579
22	0.5662553168
23	0.5620469713
24	0.5586722858
25	0.55573545
26	0.551176754
27	0.5484677296
28	0.5446432417
29	0.5410564188
30	0.5382915712
31	0.5353407896
32	0.5330862906
33	0.5305760506
34	0.5278536455
35	0.525394157
36	0.5227771041
37	0.5197447382
38	0.5174014997
39	0.5146747048
40	0.5125016662
41	0.5104456238
42	0.5076058982
43	0.5052605873
44	0.5028330343
45	0.5011655148
46	0.4989054563
47	0.4961263203
48	0.4941689179
49	0.4924405544
50	0.4902057992
51	0.4883934635
52	0.4863505192
53	0.4840632844
54	0.4817002451
55	0.4791979967
56	0.4774584598
57	0.4758987314
58	0.4742668117
59	0.4724004883
60	0.471015538
61	0.469643355
62	0.4680804438
63	0.4664635803
64	0.4648842348
65	0.4633867155
66	0.4615813569
67	0.4597287411
68	0.458259766
69	0.4562960964
70	0.4541367695
71	0.4530529854
72	0.4519380559
73	0.4508981736
74	0.4495047356
75	0.4481335677
76	0.4472802179
77	0.4460915175
78	0.4447186754
79	0.443503071
80	0.4427526902
81	0.4417946563
82	0.4410517486
83	0.439766439
84	0.4383123863
85	0.4370135888
86	0.4358072749
87	0.4351826431
88	0.4341901495
89	0.4333075519
90	0.4322795718
91	0.4315100507
92	0.4303033398
93	0.4293245718
94	0.4285030563
95	0.427792341
96	0.4267254448
97	0.4252631099
98	0.4241489369
99	0.4231248269
100	0.4221699969
101	0.4213252718
102	0.4204831752
103	0.4188522069
104	0.4179121673
105	0.4171896182
106	0.4161987703
107	0.4155934159
108	0.4148645473
109	0.4141304084
110	0.4133570987
111	0.4123950005
112	0.4112750062
113	0.4103075733
114	0.4091904643
115	0.4084223598
116	0.408152829
117	0.4070619227
118	0.4065405049
119	0.4057100179
120	0.4045505927
121	0.4034389022
122	0.4029363043
123	0.4024412134
124	0.4020886305
125	0.4016048671
126	0.4010473325
127	0.4005370228
128	0.3996481775
129	0.3988724898
130	0.3984545557
131	0.3980263411
132	0.3967086195
133	0.3962745726
134	0.3956898518
135	0.3952209439
136	0.394529328
137	0.3942100188
138	0.3936589703
139	0.3933173162
140	0.3929228449
141	0.3924416972
142	0.3922072486
143	0.3917207449
144	0.391278019
145	0.3905953014
146	0.3899626348
147	0.3892107712
148	0.3887392901
149	0.3880274157
150	0.3875515626
151	0.3869887841
152	0.3867509573
153	0.3863717021
154	0.3857278829
155	0.385146328
156	0.3846811519
157	0.3841175466
158	0.3836643145
159	0.3833705044
160	0.3828652837
161	0.3826755894
162	0.382456127
163	0.3821182541
164	0.3817706889
165	0.381158887
166	0.3799686109
167	0.3797307391
168	0.3791734575
169	0.3785271303
170	0.3778729723
171	0.3772079467
172	0.3769236781
173	0.3765396128
174	0.3761622388
175	0.3758798309
176	0.3754439062
177	0.3753004708
178	0.3749541769
179	0.3741451816
180	0.3738647522
181	0.3729157954
182	0.3726578152
183	0.3721241956
184	0.3717802181
185	0.3711879175
186	0.3709240241
187	0.370119568
188	0.3698806295
189	0.3692350687
190	0.3687414705
191	0.3686012988
192	0.3683842525
193	0.3680826314
194	0.3679062031
195	0.3677187978
196	0.3675404531
197	0.3673209451
198	0.3669088855
199	0.3667446039
200	0.3664074659
201	0.3659739857
202	0.3651738784
203	0.3645681996
204	0.3642033411
205	0.3640263294
206	0.3636023504
207	0.3632891487
208	0.3627203307
209	0.3622431258
210	0.3620952371
211	0.3618445866
212	0.3615285569
213	0.3612977681
214	0.3610870831
215	0.3608144195
216	0.3605884406
217	0.3602134599
218	0.3594930802
219	0.3589802546
220	0.3587392126
221	0.3583119406
222	0.3582281905
223	0.3579745736
224	0.3578602516
225	0.3577120501
226	0.3574158917
227	0.3572690117
228	0.3570166485
229	0.3568067738
230	0.3564074534
231	0.3560256028
232	0.3557136706
233	0.3555105962
234	0.3545677228
235	0.3541129254
236	0.3540166765
237	0.3538965493
238	0.3536587302
239	0.3533116197
240	0.3530342834
241	0.3526303314
242	0.352328346
243	0.3520333352
244	0.3519228259
245	0.3517922521
246	0.3512323009
247	0.351060421
248	0.3508196472
249	0.3505770696
250	0.3500804238
251	0.3499047401
252	0.3498165579
253	0.3497704752
254	0.3493015615
255	0.3489891111
256	0.3488811643
257	0.348684166
258	0.348436667
259	0.3482710112
260	0.3481130576
261	0.3480505668
262	0.3479988792
263	0.3477703774
264	0.3469604915
265	0.3467977793
266	0.3465005277
267	0.3462639321
268	0.3453644274
269	0.3449459006
270	0.3446662357
271	0.3443181302
272	0.3438020459
273	0.3437087684
274	0.3436729476
275	0.3431707099
276	0.3426878816
277	0.3425987971
278	0.3423318987
279	0.3422754219
280	0.3421327441
281	0.3420209923
282	0.3419339345
283	0.3418567812
284	0.3415888515
285	0.3411532169
286	0.3410771497
287	0.3408788016
288	0.3408250271
289	0.3407604351
290	0.3406786403
291	0.3405023955
292	0.3402284689
293	0.3401179311
294	0.3400109522
295	0.3395883361
296	0.3394237148
297	0.3391580351
298	0.3390438461
299	0.3389074743
300	0.3387205475
301	0.3386207917
302	0.3383070774
303	0.3379296366
304	0.3378414329
305	0.3377305724
306	0.3376808649
307	0.3376621636
308	0.3374485451
309	0.3372402177
310	0.3365971363
311	0.3365427535
312	0.336313513
313	0.3361508411
314	0.3354532673
315	0.3350148918
316	0.3349324373
317	0.3346860469
318	0.3345529763
319	0.3344518847
320	0.3343009107
321	0.3342772354
322	0.3339254911
323	0.3338182923
324	0.3335408335
325	0.3329399838
326	0.3327593575
327	0.3326092738
328	0.3322223015
329	0.3321345489
330	0.3318158086
331	0.3316713353
332	0.3314055793
333	0.3311813213
334	0.3310472435
335	0.3309600121
336	0.3308454075
337	0.3307767411
338	0.3304131259
339	0.330247719
340	0.3301240848
341	0.3296421377
342	0.3294391475
343	0.3293826241
344	0.3290565344
345	0.3288574303
346	0.3286591398
347	0.3284409655
348	0.3282681058
349	0.3281986793
350	0.3279622261
351	0.3278240769
352	0.3275623756
