,opened,read,written,deleted
100,89.89% (+/- 2.16%),87.64% (+/- 1.7%),93.24% (+/- 1.68%),90.72% (+/- 3.66%)
200,90.88% (+/- 2.1%),88.11% (+/- 1.42%),92.86% (+/- 1.67%),90.67% (+/- 3.24%)
300,91.53% (+/- 1.97%),88.29% (+/- 1.49%),92.69% (+/- 1.54%),91.38% (+/- 3.17%)
400,91.19% (+/- 2.01%),88.28% (+/- 1.31%),92.67% (+/- 1.52%),91.32% (+/- 3.48%)
500,91.12% (+/- 2.0%),88.44% (+/- 1.41%),92.29% (+/- 1.6%),91.21% (+/- 3.19%)
600,90.88% (+/- 2.01%),88.53% (+/- 1.35%),92.21% (+/- 1.71%),91.1% (+/- 3.38%)
700,90.96% (+/- 1.83%),88.43% (+/- 1.43%),92.34% (+/- 1.68%),91.32% (+/- 3.29%)
800,90.95% (+/- 1.92%),88.4% (+/- 1.36%),92.21% (+/- 1.57%),91.11% (+/- 3.3%)
900,90.88% (+/- 1.93%),88.49% (+/- 1.38%),91.99% (+/- 1.65%),91.11% (+/- 3.21%)
1000,90.95% (+/- 1.75%),88.44% (+/- 1.37%),92.13% (+/- 1.95%),91.38% (+/- 3.17%)
1100,90.79% (+/- 1.97%),88.39% (+/- 1.42%),92.1% (+/- 1.52%),91.49% (+/- 3.4%)
1200,90.84% (+/- 1.73%),88.4% (+/- 1.36%),92.07% (+/- 1.85%),91.32% (+/- 3.26%)
1300,90.87% (+/- 1.78%),88.48% (+/- 1.31%),91.96% (+/- 1.8%),91.43% (+/- 3.3%)
1400,90.79% (+/- 1.9%),88.3% (+/- 1.21%),91.96% (+/- 1.85%),91.11% (+/- 3.13%)
1500,90.83% (+/- 1.91%),88.49% (+/- 1.44%),91.94% (+/- 1.84%),90.89% (+/- 3.35%)
