,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_selector__score_func,params
0,0.9211136890951276,0.9071925754060325,0.894431554524362,0.9105691056910569,0.8896631823461092,0.9045961002785515,0.011327461072799253,6,0.8538702964782715,0.07281814224765142,0.050499486923217776,0.008590895089300407,214,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 214), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
1,0.9002320185614849,0.9060324825986079,0.8874709976798144,0.9024390243902439,0.8896631823461092,0.8971680594243269,0.007295629178250754,34,0.974887466430664,0.042116649560363505,0.06143274307250977,0.006385507310428236,208,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 208), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
2,0.9129930394431555,0.9106728538283063,0.8932714617169374,0.908246225319396,0.8943089430894309,0.903899721448468,0.008395638172596141,10,1.0579589366912843,0.02010743135466293,0.03646740913391113,0.005537622539410082,251,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 251), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
3,0.8979118329466357,0.9025522041763341,0.8816705336426914,0.8977932636469221,0.8954703832752613,0.8950789229340761,0.007089273365434752,40,0.9644106388092041,0.05208119097097076,0.03884768486022949,0.007696180240171786,214,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 214), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
4,0.8967517401392111,0.9013921113689095,0.8851508120649652,0.9163763066202091,0.8826945412311266,0.8964716805942433,0.012150041466040784,37,1.1119046688079834,0.05428010887497393,0.045163536071777345,0.006352400895291884,265,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 265), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
5,0.8979118329466357,0.9002320185614849,0.882830626450116,0.9128919860627178,0.89198606271777,0.8971680594243269,0.009894515264909403,34,1.2555933952331544,0.05138901468956737,0.044748783111572266,0.006029620862544706,291,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 291), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
6,0.9048723897911833,0.9106728538283063,0.8955916473317865,0.9094076655052264,0.8931475029036005,0.9027390900649953,0.007141568084260138,19,0.9181799411773681,0.03855735269963297,0.04716072082519531,0.01078315421202211,198,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 198), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
7,0.9048723897911833,0.9013921113689095,0.877030162412993,0.9012775842044135,0.8931475029036005,0.8955431754874652,0.010027832667332757,39,0.6265763282775879,0.024109277795893468,0.047058391571044925,0.003379171026396474,102,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 102), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
8,0.8955916473317865,0.8967517401392111,0.8851508120649652,0.8977932636469221,0.8873403019744484,0.8925255338904364,0.00522080181773584,47,0.7414074897766113,0.016651644267720426,0.037746238708496097,0.007977963509074208,140,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 140), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
9,0.9002320185614849,0.8921113689095128,0.8816705336426914,0.8896631823461092,0.8873403019744484,0.8902042711234912,0.006092434281478198,48,0.45876340866088866,0.022190408732713652,0.03400554656982422,0.0038298250338382064,44,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 44), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
10,0.9025522041763341,0.8932714617169374,0.8955916473317865,0.9036004645760743,0.8687572590011614,0.8927576601671309,0.012628377735988107,46,24.496530532836914,0.20066992612268247,0.045349502563476564,0.0071754596491167754,94,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 94), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
11,0.9118329466357309,0.9083526682134571,0.8955916473317865,0.9128919860627178,0.8908246225319396,0.903899721448468,0.008983351643988438,10,1.2556544303894044,0.035911787224004094,0.05454154014587402,0.00797544480968914,300,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 300), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
12,0.8839907192575406,0.8747099767981439,0.877030162412993,0.8780487804878049,0.8664343786295006,0.8760445682451253,0.005696137933868205,50,0.42594246864318847,0.015977442890534946,0.029097843170166015,0.0064216875110263034,10,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 10), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
13,0.9118329466357309,0.9013921113689095,0.894431554524362,0.8954703832752613,0.89198606271777,0.899025069637883,0.0071129971887551775,32,25.354794454574584,0.12628610422866862,0.04788661003112793,0.001001506624096137,300,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 300), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
14,0.9037122969837587,0.8921113689095128,0.8979118329466357,0.9047619047619048,0.8745644599303136,0.8946146703806871,0.010996150591980907,41,23.554222059249877,0.27381091354670595,0.035057449340820314,0.012198359710595318,10,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 10), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
