,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_base_estimator,param_learning_rate,param_n_estimators,params
0,0.8997384481255449,0.8849171752397559,0.9083769633507853,0.8976744186046511,0.009687343860996896,21,2.047354062398275,0.05827265625290612,0.06351574261983235,0.01276319013645057,SAMME.R,DecisionTreeClassifier(max_depth=2),0.05672620790508927,116,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.05672620790508927), ('n_estimators', 116)])"
1,0.8683522231909329,0.8587619877942458,0.8577661431064573,0.8616279069767442,0.004773189114763155,25,4.192241907119751,0.05375591617365868,0.14875205357869467,0.00812988984256848,SAMME.R,DecisionTreeClassifier(max_depth=2),0.011450451548138903,246,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.011450451548138903), ('n_estimators', 246)])"
2,0.934612031386225,0.9389712292938099,0.9267015706806283,0.9334302325581395,0.0050779652268636245,5,3.0743912855784097,0.07943630520061284,0.10539937019348145,0.006777455652587447,SAMME.R,DecisionTreeClassifier(max_depth=2),0.3465259624840772,176,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.3465259624840772), ('n_estimators', 176)])"
3,0.8849171752397559,0.8700959023539668,0.8630017452006981,0.8726744186046511,0.009130271174854935,23,4.0873963832855225,0.00738685517645937,0.12824384371439615,0.0135030840059488,SAMME.R,DecisionTreeClassifier(max_depth=2),0.017451661601798632,231,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.017451661601798632), ('n_estimators', 231)])"
4,0.8744551002615518,0.8605056669572798,0.8603839441535777,0.8651162790697674,0.006605170476723161,24,5.416395823160808,0.049177629170982916,0.15276670455932617,0.007976254014980573,SAMME.R,DecisionTreeClassifier(max_depth=2),0.011261664948176812,307,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.011261664948176812), ('n_estimators', 307)])"
5,0.927637314734089,0.9241499564080209,0.9214659685863874,0.9244186046511628,0.002526413149355632,16,2.356715440750122,0.10638093847000267,0.08491118748982747,0.007183481505632174,SAMME.R,DecisionTreeClassifier(max_depth=2),0.15692379869493658,139,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.15692379869493658), ('n_estimators', 139)])"
6,0.9337401918047079,0.9285091543156059,0.9301919720767888,0.9308139534883721,0.0021806451101682683,10,3.977872133255005,0.045355610220550624,0.12631694475809732,0.02634153175132372,SAMME.R,DecisionTreeClassifier(max_depth=2),0.15980206957962353,221,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.15980206957962353), ('n_estimators', 221)])"
7,0.9206625980819529,0.916303400174368,0.924956369982548,0.920639534883721,0.0035323407220485843,18,5.295143763224284,0.14343555835228425,0.15450596809387207,0.026760900193479008,SAMME,DecisionTreeClassifier(max_depth=2),0.4467549045581758,296,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.4467549045581758), ('n_estimators', 296)])"
8,0.9285091543156059,0.918918918918919,0.9293193717277487,0.9255813953488372,0.004723702787831998,15,6.045109113057454,0.022799646778857204,0.16136463483174643,0.026104221236677574,SAMME,DecisionTreeClassifier(max_depth=2),0.5401268298569869,356,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.5401268298569869), ('n_estimators', 356)])"
9,0.909328683522232,0.8945074106364429,0.9197207678883071,0.9078488372093023,0.010345639687963225,20,6.4119071165720625,0.09088684564738449,0.16319799423217773,0.033010038793578375,SAMME,DecisionTreeClassifier(max_depth=2),0.17843465964125008,384,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.17843465964125008), ('n_estimators', 384)])"
10,0.9363557105492589,0.918918918918919,0.9301919720767888,0.9284883720930233,0.007220679266210349,12,8.671132802963257,0.2001702176193931,0.25836896896362305,0.015094706973883314,SAMME.R,DecisionTreeClassifier(max_depth=2),1.0,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 1.0), ('n_estimators', 500)])"
11,0.9363557105492589,0.934612031386225,0.931064572425829,0.9340116279069768,0.002201287227836476,4,10.043075402577719,0.12803438087246727,0.5120477676391602,0.01470361014689072,SAMME.R,DecisionTreeClassifier(max_depth=2),0.2288554335820413,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.2288554335820413), ('n_estimators', 500)])"
12,0.9433304272013949,0.927637314734089,0.9284467713787086,0.9331395348837209,0.007215190677057426,8,22.691209236780804,0.2691942866223772,0.8318254152933756,0.04323952644700333,SAMME.R,DecisionTreeClassifier(max_depth=2),0.42407968537132246,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.42407968537132246), ('n_estimators', 500)])"
