,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params
0,0.9433304272013949,0.9337401918047079,0.9502617801047121,0.9424418604651162,0.006773635640446297,3,2.328892628351847,0.05360261834403338,0.017657756805419922,0.002810853598233178,0.002107681249770302,0.15548655863280092,1.8992018546362966e-06,5.593977880531548e-08,0.09690606246621411,18,1,63,0.7394782887996654,"OrderedDict([('alpha', 0.002107681249770302), ('colsample_bytree', 0.15548655863280092), ('gamma', 1.8992018546362966e-06), ('lambda', 5.593977880531548e-08), ('learning_rate', 0.09690606246621411), ('max_depth', 18), ('min_child_weight', 1), ('n_estimators', 63), ('subsample', 0.7394782887996654)])"
1,0.942458587619878,0.942458587619878,0.9450261780104712,0.9433139534883721,0.0012101976761679028,2,7.041242202123006,0.07913863923014278,0.023304303487141926,0.0035953003903945457,0.0014191129358860485,0.4011458906809745,1.8023871181327715e-09,0.00016493015774619377,0.06410712948858617,15,0,68,0.928723943060398,"OrderedDict([('alpha', 0.0014191129358860485), ('colsample_bytree', 0.4011458906809745), ('gamma', 1.8023871181327715e-09), ('lambda', 0.00016493015774619377), ('learning_rate', 0.06410712948858617), ('max_depth', 15), ('min_child_weight', 0), ('n_estimators', 68), ('subsample', 0.928723943060398)])"
2,0.9319965126416739,0.9267654751525719,0.9354275741710296,0.9313953488372093,0.003561500290517731,14,1.1544586022694905,0.016138177490037243,0.019167741139729817,0.0009441929885493931,0.029757134630289256,0.11210414545821715,0.004978031904676388,2.298511845001651e-06,0.07868733345223605,14,7,68,0.990466056612989,"OrderedDict([('alpha', 0.029757134630289256), ('colsample_bytree', 0.11210414545821715), ('gamma', 0.004978031904676388), ('lambda', 2.298511845001651e-06), ('learning_rate', 0.07868733345223605), ('max_depth', 14), ('min_child_weight', 7), ('n_estimators', 68), ('subsample', 0.990466056612989)])"
3,0.9319965126416739,0.9224062772449869,0.9284467713787086,0.9276162790697674,0.003959518060862859,17,2.72762393951416,0.02244712097831468,0.021262089411417644,0.007306128091464473,0.0021426951012001308,0.47041569591763044,1.1268483194913195e-08,6.66204158391103e-05,0.06832822098683475,18,10,81,0.7635782745932461,"OrderedDict([('alpha', 0.0021426951012001308), ('colsample_bytree', 0.47041569591763044), ('gamma', 1.1268483194913195e-08), ('lambda', 6.66204158391103e-05), ('learning_rate', 0.06832822098683475), ('max_depth', 18), ('min_child_weight', 10), ('n_estimators', 81), ('subsample', 0.7635782745932461)])"
4,0.932868352223191,0.927637314734089,0.9389179755671903,0.9331395348837209,0.004608967795372791,12,2.588643471399943,0.00757795930895903,0.0312499205271403,1.5734823444067105e-06,0.07928046473600696,0.4235608075984558,1.67665900058721e-09,0.007078758136627042,0.08734715018039703,10,7,75,0.9382689022901303,"OrderedDict([('alpha', 0.07928046473600696), ('colsample_bytree', 0.4235608075984558), ('gamma', 1.67665900058721e-09), ('lambda', 0.007078758136627042), ('learning_rate', 0.08734715018039703), ('max_depth', 10), ('min_child_weight', 7), ('n_estimators', 75), ('subsample', 0.9382689022901303)])"
5,0.8692240627724499,0.8674803836094158,0.8472949389179756,0.8613372093023256,0.009950558037186665,27,0.8699657917022705,0.00742728623198379,0.02603920300801595,0.007364459329803551,0.5106133530537277,0.48831290154495777,0.00015871959913138373,2.378120953403264e-07,0.17987104851840577,1,7,65,0.8582316148739674,"OrderedDict([('alpha', 0.5106133530537277), ('colsample_bytree', 0.48831290154495777), ('gamma', 0.00015871959913138373), ('lambda', 2.378120953403264e-07), ('learning_rate', 0.17987104851840577), ('max_depth', 1), ('min_child_weight', 7), ('n_estimators', 65), ('subsample', 0.8582316148739674)])"
6,0.9293809938971229,0.9215344376634699,0.9240837696335078,0.925,0.003268602686020458,19,1.7787652810414631,0.025181745452242946,0.02036571502685547,0.010118688358631583,0.0007038195949977947,0.1870471358367638,0.0001717764390722999,3.535710042142777e-05,0.027503210440228108,17,6,73,0.9438912542272697,"OrderedDict([('alpha', 0.0007038195949977947), ('colsample_bytree', 0.1870471358367638), ('gamma', 0.0001717764390722999), ('lambda', 3.535710042142777e-05), ('learning_rate', 0.027503210440228108), ('max_depth', 17), ('min_child_weight', 6), ('n_estimators', 73), ('subsample', 0.9438912542272697)])"
7,0.902353966870096,0.9075850043591979,0.9057591623036649,0.9052325581395348,0.0021680605124648933,23,0.995698610941569,0.038072937115172234,0.018287817637125652,0.0026981457270167175,7.003402338794183e-07,0.7649914723977279,0.015029751458901291,0.0035582900404887425,0.18721863266560737,2,5,50,0.5657522887795485,"OrderedDict([('alpha', 7.003402338794183e-07), ('colsample_bytree', 0.7649914723977279), ('gamma', 0.015029751458901291), ('lambda', 0.0035582900404887425), ('learning_rate', 0.18721863266560737), ('max_depth', 2), ('min_child_weight', 5), ('n_estimators', 50), ('subsample', 0.5657522887795485)])"
8,0.9363557105492589,0.9337401918047079,0.9467713787085514,0.938953488372093,0.005627925845370127,7,3.912186622619629,0.05409579705080023,0.016865253448486328,0.002902672643989341,1.063691222396563e-05,0.5666965754517326,0.03431344193351762,0.14470390515416198,0.06949980334805778,10,3,96,0.6665270013623132,"OrderedDict([('alpha', 1.063691222396563e-05), ('colsample_bytree', 0.5666965754517326), ('gamma', 0.03431344193351762), ('lambda', 0.14470390515416198), ('learning_rate', 0.06949980334805778), ('max_depth', 10), ('min_child_weight', 3), ('n_estimators', 96), ('subsample', 0.6665270013623132)])"
9,0.9450741063644289,0.937227550130776,0.93717277486911,0.9398255813953489,0.003712144113644489,5,2.355043649673462,0.07593581219838934,0.016182581583658855,0.000817625810853619,1.1176346558801303e-08,0.7060830767861989,0.0002775173143273028,0.7884064568114199,0.5199784343596193,8,7,96,0.9782870712898664,"OrderedDict([('alpha', 1.1176346558801303e-08), ('colsample_bytree', 0.7060830767861989), ('gamma', 0.0002775173143273028), ('lambda', 0.7884064568114199), ('learning_rate', 0.5199784343596193), ('max_depth', 8), ('min_child_weight', 7), ('n_estimators', 96), ('subsample', 0.9782870712898664)])"
