,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params
0,0.8764940239043825,0.8896276595744681,0.8909574468085106,0.8843085106382979,0.851063829787234,0.8784897633608083,0.014623538663288187,22,48.19873781204224,7.416578093807144,0.04395194053649902,0.012200885696665808,mae,0.01328322299832468,deviance,8,log2,5,2,63,0.7394782887996654,"OrderedDict([('criterion', 'mae'), ('learning_rate', 0.01328322299832468), ('loss', 'deviance'), ('max_depth', 8), ('max_features', 'log2'), ('min_samples_leaf', 5), ('min_samples_split', 2), ('n_estimators', 63), ('subsample', 0.7394782887996654)])"
1,0.9322709163346613,0.9335106382978723,0.9321808510638298,0.9281914893617021,0.9215425531914894,0.9295400159532039,0.004380867480424339,16,87.88977022171021,8.786113987709976,0.04090738296508789,0.015877020351337333,mae,0.04668884070205238,deviance,22,log2,4,2,68,0.928723943060398,"OrderedDict([('criterion', 'mae'), ('learning_rate', 0.04668884070205238), ('loss', 'deviance'), ('max_depth', 22), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 68), ('subsample', 0.928723943060398)])"
2,0.8950863213811421,0.913563829787234,0.9215425531914894,0.8922872340425532,0.8936170212765957,0.90321722946025,0.012004219106500544,19,100.61844387054444,6.1453636202379665,0.039606237411499025,0.007263051677518183,mae,0.010638933664917376,exponential,15,log2,4,7,68,0.990466056612989,"OrderedDict([('criterion', 'mae'), ('learning_rate', 0.010638933664917376), ('loss', 'exponential'), ('max_depth', 15), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 7), ('n_estimators', 68), ('subsample', 0.990466056612989)])"
3,0.9402390438247012,0.9321808510638298,0.9401595744680851,0.9295212765957447,0.9361702127659575,0.9356554107950014,0.004272377241115283,14,78.81774401664734,1.8872436599636075,0.04679250717163086,0.020388244622028113,mae,0.06654968297130963,deviance,21,log2,4,10,81,0.7635782745932461,"OrderedDict([('criterion', 'mae'), ('learning_rate', 0.06654968297130963), ('loss', 'deviance'), ('max_depth', 21), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 81), ('subsample', 0.7635782745932461)])"
4,0.9455511288180611,0.9375,0.9388297872340425,0.9375,0.9375,0.9393778250465302,0.0031313365983067845,12,102.29870071411133,14.227624525790112,0.05501847267150879,0.012550402269444517,mae,0.05236293929735302,deviance,29,log2,3,8,75,0.9382689022901303,"OrderedDict([('criterion', 'mae'), ('learning_rate', 0.05236293929735302), ('loss', 'deviance'), ('max_depth', 29), ('max_features', 'log2'), ('min_samples_leaf', 3), ('min_samples_split', 8), ('n_estimators', 75), ('subsample', 0.9382689022901303)])"
5,0.9415670650730412,0.9321808510638298,0.9348404255319149,0.9414893617021277,0.9281914893617021,0.9356554107950014,0.005242889448750952,14,141.01081161499025,4.437594432627748,0.03387727737426758,0.009496161005092457,mae,0.07293190523422617,exponential,11,sqrt,1,7,65,0.8582316148739674,"OrderedDict([('criterion', 'mae'), ('learning_rate', 0.07293190523422617), ('loss', 'exponential'), ('max_depth', 11), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 7), ('n_estimators', 65), ('subsample', 0.8582316148739674)])"
6,0.9070385126162018,0.9228723404255319,0.9188829787234043,0.9202127659574468,0.9095744680851063,0.9157139058760968,0.006237458473357502,18,28.24252529144287,0.517681610876752,0.016799020767211913,0.0009558303470398332,mae,0.015611264415263513,exponential,20,log2,4,6,73,0.9438912542272697,"OrderedDict([('criterion', 'mae'), ('learning_rate', 0.015611264415263513), ('loss', 'exponential'), ('max_depth', 20), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 73), ('subsample', 0.9438912542272697)])"
7,0.9442231075697212,0.9428191489361702,0.9441489361702128,0.9428191489361702,0.9361702127659575,0.9420366923690507,0.0029958793866668863,8,1.8303983211517334,0.04857272798644733,0.016544103622436523,0.0004891442657336272,friedman_mse,0.30044074314959107,exponential,28,sqrt,1,6,50,0.5657522887795485,"OrderedDict([('criterion', 'friedman_mse'), ('learning_rate', 0.30044074314959107), ('loss', 'exponential'), ('max_depth', 28), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 6), ('n_estimators', 50), ('subsample', 0.5657522887795485)])"
8,0.949535192563081,0.9428191489361702,0.949468085106383,0.9468085106382979,0.9414893617021277,0.9460249933528317,0.003335903425303105,2,1.655189085006714,0.04835921120815683,0.016017389297485352,0.0004389217895235749,friedman_mse,0.10891896379362535,exponential,34,log2,3,5,96,0.6665270013623132,"OrderedDict([('criterion', 'friedman_mse'), ('learning_rate', 0.10891896379362535), ('loss', 'exponential'), ('max_depth', 34), ('max_features', 'log2'), ('min_samples_leaf', 3), ('min_samples_split', 5), ('n_estimators', 96), ('subsample', 0.6665270013623132)])"
9,0.952191235059761,0.9414893617021277,0.9441489361702128,0.9534574468085106,0.9375,0.9457591066205796,0.006159180153335378,3,3.004193067550659,0.06228122025087389,0.02292914390563965,0.007946985750980977,friedman_mse,0.2222548678685647,exponential,37,sqrt,2,8,96,0.9782870712898664,"OrderedDict([('criterion', 'friedman_mse'), ('learning_rate', 0.2222548678685647), ('loss', 'exponential'), ('max_depth', 37), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 8), ('n_estimators', 96), ('subsample', 0.9782870712898664)])"
