,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_grow_policy,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,params
0,0.9349269588313412,0.9268617021276596,0.9228723404255319,0.9188829787234043,0.9162234042553191,0.9239563945759106,0.006566744309943903,16,0.7278786659240722,0.015806449510327437,0.017642450332641602,0.0019288600199779732,0.702644992444359,2,Lossguide,154,16,0.5995850697313659,3.8447832291713815e-09,"OrderedDict([('bagging_temperature', 0.702644992444359), ('depth', 2), ('grow_policy', 'Lossguide'), ('iterations', 154), ('l2_leaf_reg', 16), ('learning_rate', 0.5995850697313659), ('random_strength', 3.8447832291713815e-09)])"
1,0.9468791500664011,0.9521276595744681,0.9414893617021277,0.9414893617021277,0.9335106382978723,0.943100239298059,0.00621115886830635,3,2.330611753463745,0.0910598304315653,0.021697378158569335,0.0032103005089410713,0.6835574398742915,4,Depthwise,440,13,0.3110826353532231,2.749734943636558e-09,"OrderedDict([('bagging_temperature', 0.6835574398742915), ('depth', 4), ('grow_policy', 'Depthwise'), ('iterations', 440), ('l2_leaf_reg', 13), ('learning_rate', 0.3110826353532231), ('random_strength', 2.749734943636558e-09)])"
2,0.8831341301460823,0.9175531914893617,0.8922872340425532,0.8909574468085106,0.8949468085106383,0.8957724009571922,0.011577345667912199,19,0.6366878986358643,0.0072503956448044,0.020031070709228514,0.002321519403287689,0.8303990122072878,1,SymmetricTree,287,15,0.23962674706412077,0.007389231992179819,"OrderedDict([('bagging_temperature', 0.8303990122072878), ('depth', 1), ('grow_policy', 'SymmetricTree'), ('iterations', 287), ('l2_leaf_reg', 15), ('learning_rate', 0.23962674706412077), ('random_strength', 0.007389231992179819)])"
3,0.9442231075697212,0.9428191489361702,0.9401595744680851,0.9295212765957447,0.9321808510638298,0.9377825046530178,0.005867459503344168,10,10.726453828811646,0.7637551391814521,0.05199165344238281,0.0048455208592157115,0.7034400418549065,5,Depthwise,408,14,0.558142285946129,8.384782344882137,"OrderedDict([('bagging_temperature', 0.7034400418549065), ('depth', 5), ('grow_policy', 'Depthwise'), ('iterations', 408), ('l2_leaf_reg', 14), ('learning_rate', 0.558142285946129), ('random_strength', 8.384782344882137)])"
4,0.9468791500664011,0.9414893617021277,0.9321808510638298,0.9308510638297872,0.9308510638297872,0.9364530709917576,0.006560053447214435,12,10.860748720169067,0.28634805338333097,0.061144018173217775,0.003225353550755534,0.8776851319206269,4,Depthwise,575,15,0.08052820767874733,0.023312861722486457,"OrderedDict([('bagging_temperature', 0.8776851319206269), ('depth', 4), ('grow_policy', 'Depthwise'), ('iterations', 575), ('l2_leaf_reg', 15), ('learning_rate', 0.08052820767874733), ('random_strength', 0.023312861722486457)])"
5,0.9110225763612217,0.9281914893617021,0.910904255319149,0.9095744680851063,0.9029255319148937,0.912523265089072,0.008379594468714644,18,9.045886564254761,0.08937955950879103,0.05209789276123047,0.006916306885134883,0.9675657964283417,5,Lossguide,206,20,0.010437105746320277,0.006035789752463445,"OrderedDict([('bagging_temperature', 0.9675657964283417), ('depth', 5), ('grow_policy', 'Lossguide'), ('iterations', 206), ('l2_leaf_reg', 20), ('learning_rate', 0.010437105746320277), ('random_strength', 0.006035789752463445)])"
6,0.9375830013280213,0.9401595744680851,0.9335106382978723,0.9321808510638298,0.9202127659574468,0.9327306567402287,0.006874747636494162,13,3.9153481483459474,0.0395756239398169,0.0584712028503418,0.002534301366915557,0.6497179282036988,2,Lossguide,385,8,0.4297767320932693,0.0004204165641133956,"OrderedDict([('bagging_temperature', 0.6497179282036988), ('depth', 2), ('grow_policy', 'Lossguide'), ('iterations', 385), ('l2_leaf_reg', 8), ('learning_rate', 0.4297767320932693), ('random_strength', 0.0004204165641133956)])"
7,0.9269588313413014,0.9335106382978723,0.9228723404255319,0.9348404255319149,0.9175531914893617,0.9271470353629354,0.006480403911497617,14,92.12732248306274,0.46584961072525627,0.0469151496887207,0.00933653006934709,0.31614545298544944,8,SymmetricTree,550,20,0.011832839672071098,8.442528325696921e-05,"OrderedDict([('bagging_temperature', 0.31614545298544944), ('depth', 8), ('grow_policy', 'SymmetricTree'), ('iterations', 550), ('l2_leaf_reg', 20), ('learning_rate', 0.011832839672071098), ('random_strength', 8.442528325696921e-05)])"
8,0.950863213811421,0.9521276595744681,0.9281914893617021,0.9401595744680851,0.9348404255319149,0.9412390321722947,0.009203731580744714,7,32.22348461151123,0.17202045524912263,0.04995241165161133,0.005391884522703001,0.4474239528275963,6,SymmetricTree,683,14,0.08786158413988417,2.1895652968697026e-06,"OrderedDict([('bagging_temperature', 0.4474239528275963), ('depth', 6), ('grow_policy', 'SymmetricTree'), ('iterations', 683), ('l2_leaf_reg', 14), ('learning_rate', 0.08786158413988417), ('random_strength', 2.1895652968697026e-06)])"
9,0.9442231075697212,0.9454787234042553,0.9308510638297872,0.9428191489361702,0.9361702127659575,0.9399095985110343,0.005551771033776717,8,40.43269443511963,1.2672543470266604,0.06628870964050293,0.008630040479232054,0.11647776222456444,7,Lossguide,744,26,0.05067393567780821,0.021594803807743077,"OrderedDict([('bagging_temperature', 0.11647776222456444), ('depth', 7), ('grow_policy', 'Lossguide'), ('iterations', 744), ('l2_leaf_reg', 26), ('learning_rate', 0.05067393567780821), ('random_strength', 0.021594803807743077)])"
