,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_base_estimator,param_learning_rate,param_n_estimators,params
0,0.9061116031886626,0.8652482269503546,0.8794326241134752,0.8836041358936485,0.016942270806842533,24,1.846670150756836,0.008479271570815705,0.1397238572438558,0.021353678215137627,SAMME.R,DecisionTreeClassifier(max_depth=2),0.05672620790508927,116,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.05672620790508927), ('n_estimators', 116)])"
1,0.8600531443755536,0.8315602836879432,0.848404255319149,0.8466765140324963,0.011696966633816797,28,4.16133181254069,0.058866287094029204,0.3177483081817627,0.026058315917107843,SAMME.R,DecisionTreeClassifier(max_depth=2),0.011450451548138903,246,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.011450451548138903), ('n_estimators', 246)])"
2,0.9300265721877768,0.9281914893617021,0.9157801418439716,0.9246676514032496,0.006327539197441528,11,2.8084131876627603,0.0695072275508261,0.2303797403971354,0.007761816278498799,SAMME.R,DecisionTreeClassifier(max_depth=2),0.3465259624840772,176,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.3465259624840772), ('n_estimators', 176)])"
3,0.8839681133746679,0.8563829787234043,0.848404255319149,0.8629246676514033,0.015238650283180446,26,3.739858309427897,0.08703675298890695,0.3202802340189616,0.03338594265667364,SAMME.R,DecisionTreeClassifier(max_depth=2),0.017451661601798632,231,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.017451661601798632), ('n_estimators', 231)])"
4,0.8697962798937112,0.8430851063829787,0.8448581560283688,0.8525849335302806,0.012197144161504322,27,5.154117663701375,0.04529726681172576,0.45069003105163574,0.012785671596540166,SAMME.R,DecisionTreeClassifier(max_depth=2),0.011261664948176812,307,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.011261664948176812), ('n_estimators', 307)])"
5,0.9220549158547388,0.9131205673758865,0.901595744680851,0.9122599704579025,0.008375164953400025,19,2.259411652882894,0.027198185419997252,0.1971587340037028,0.0074708615934689915,SAMME.R,DecisionTreeClassifier(max_depth=2),0.15692379869493658,139,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.15692379869493658), ('n_estimators', 139)])"
6,0.9282550930026572,0.9219858156028369,0.9113475177304965,0.9205317577548006,0.0069791154316870985,15,3.7225696245829263,0.06563208666258588,0.2985817591349284,0.03381014549708509,SAMME.R,DecisionTreeClassifier(max_depth=2),0.15980206957962353,221,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.15980206957962353), ('n_estimators', 221)])"
7,0.9087688219663419,0.8953900709219859,0.899822695035461,0.9013293943870014,0.005565141425987618,22,4.570871512095134,0.1120512130704386,0.3927121162414551,0.03287870677666676,SAMME,DecisionTreeClassifier(max_depth=2),0.4467549045581758,296,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.4467549045581758), ('n_estimators', 296)])"
8,0.9114260407440212,0.9078014184397163,0.9060283687943262,0.9084194977843427,0.0022466537608477376,21,5.513118187586467,0.08736163084852569,0.45416736602783203,0.008908453345452283,SAMME,DecisionTreeClassifier(max_depth=2),0.5401268298569869,356,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.5401268298569869), ('n_estimators', 356)])"
9,0.9007971656333038,0.8687943262411347,0.8891843971631206,0.8862629246676514,0.013228293354127394,23,5.8140740394592285,0.09717821261267946,0.4512692292531331,0.038427712192324395,SAMME,DecisionTreeClassifier(max_depth=2),0.17843465964125008,384,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.17843465964125008), ('n_estimators', 384)])"
10,0.9353410097431355,0.9290780141843972,0.9184397163120568,0.9276218611521418,0.006976797070316048,7,8.146085898081461,0.026147927938913754,0.6498472690582275,0.04099742153749097,SAMME.R,DecisionTreeClassifier(max_depth=2),1.0,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 1.0), ('n_estimators', 500)])"
11,0.9211691762621789,0.9157801418439716,0.899822695035461,0.9122599704579025,0.009063643746049926,19,0.8784751892089844,0.01948775648942306,0.06812063852945964,0.007573956252445035,SAMME.R,DecisionTreeClassifier(max_depth=2),1.0,50,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 1.0), ('n_estimators', 50)])"
12,0.9362267493356953,0.9290780141843972,0.9228723404255319,0.9293943870014771,0.0054569021627802194,3,7.983580668767293,0.1139475530996105,0.6606848239898682,0.030660483737286713,SAMME.R,DecisionTreeClassifier(max_depth=2),0.34362564922178496,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.34362564922178496), ('n_estimators', 500)])"
