,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params
0,0.9406554472984943,0.9388297872340425,0.9326241134751773,0.937370753323486,0.003437425108839087,6,0.8042291005452474,0.015450505978388743,0.005571921666463216,0.007532776405680169,0.002107681249770302,0.15548655863280092,1.8992018546362966e-06,5.593977880531548e-08,0.09690606246621411,18,1,63,0.7394782887996654,"OrderedDict([('alpha', 0.002107681249770302), ('colsample_bytree', 0.15548655863280092), ('gamma', 1.8992018546362966e-06), ('lambda', 5.593977880531548e-08), ('learning_rate', 0.09690606246621411), ('max_depth', 18), ('min_child_weight', 1), ('n_estimators', 63), ('subsample', 0.7394782887996654)])"
1,0.9397697077059345,0.9432624113475178,0.9273049645390071,0.9367799113737075,0.006848421990557689,9,1.8406812349955242,0.020392753512054444,0.016190052032470703,2.663680825888503e-05,0.0014191129358860485,0.4011458906809745,1.8023871181327715e-09,0.00016493015774619377,0.06410712948858617,15,0,68,0.928723943060398,"OrderedDict([('alpha', 0.0014191129358860485), ('colsample_bytree', 0.4011458906809745), ('gamma', 1.8023871181327715e-09), ('lambda', 0.00016493015774619377), ('learning_rate', 0.06410712948858617), ('max_depth', 15), ('min_child_weight', 0), ('n_estimators', 68), ('subsample', 0.928723943060398)])"
2,0.9202834366696191,0.9184397163120568,0.898936170212766,0.9125553914327917,0.009657491239381323,20,0.46866679191589355,0.0,0.020402193069458008,0.0,0.029757134630289256,0.11210414545821715,0.004978031904676388,2.298511845001651e-06,0.07868733345223605,14,7,68,0.990466056612989,"OrderedDict([('alpha', 0.029757134630289256), ('colsample_bytree', 0.11210414545821715), ('gamma', 0.004978031904676388), ('lambda', 2.298511845001651e-06), ('learning_rate', 0.07868733345223605), ('max_depth', 14), ('min_child_weight', 7), ('n_estimators', 68), ('subsample', 0.990466056612989)])"
3,0.9238263950398583,0.9157801418439716,0.9051418439716312,0.9149187592319055,0.007652765310900864,19,1.2935296694437664,0.01743193391946108,0.014936049779256185,0.007062791345307228,0.0021426951012001308,0.47041569591763044,1.1268483194913195e-08,6.66204158391103e-05,0.06832822098683475,18,10,81,0.7635782745932461,"OrderedDict([('alpha', 0.0021426951012001308), ('colsample_bytree', 0.47041569591763044), ('gamma', 1.1268483194913195e-08), ('lambda', 6.66204158391103e-05), ('learning_rate', 0.06832822098683475), ('max_depth', 18), ('min_child_weight', 10), ('n_estimators', 81), ('subsample', 0.7635782745932461)])"
4,0.9309123117803366,0.9148936170212766,0.9122340425531915,0.9193500738552437,0.008251089123880166,18,1.1441033681233723,0.014061154028533487,0.011493285497029623,0.00823232050318129,0.07928046473600696,0.4235608075984558,1.67665900058721e-09,0.007078758136627042,0.08734715018039703,10,7,75,0.9382689022901303,"OrderedDict([('alpha', 0.07928046473600696), ('colsample_bytree', 0.4235608075984558), ('gamma', 1.67665900058721e-09), ('lambda', 0.007078758136627042), ('learning_rate', 0.08734715018039703), ('max_depth', 10), ('min_child_weight', 7), ('n_estimators', 75), ('subsample', 0.9382689022901303)])"
5,0.858281665190434,0.8351063829787234,0.8280141843971631,0.8404726735598228,0.012926771194437393,29,0.4405999978383382,0.007422453393354541,0.005456288655598958,0.0077163574169705085,0.5106133530537277,0.48831290154495777,0.00015871959913138373,2.378120953403264e-07,0.17987104851840577,1,7,65,0.8582316148739674,"OrderedDict([('alpha', 0.5106133530537277), ('colsample_bytree', 0.48831290154495777), ('gamma', 0.00015871959913138373), ('lambda', 2.378120953403264e-07), ('learning_rate', 0.17987104851840577), ('max_depth', 1), ('min_child_weight', 7), ('n_estimators', 65), ('subsample', 0.8582316148739674)])"
6,0.9087688219663419,0.9166666666666666,0.8962765957446809,0.9072378138847859,0.008393155551802414,23,0.9323709805806478,0.026532598306660434,0.005517482757568359,0.0078028989459128775,0.0007038195949977947,0.1870471358367638,0.0001717764390722999,3.535710042142777e-05,0.027503210440228108,17,6,73,0.9438912542272697,"OrderedDict([('alpha', 0.0007038195949977947), ('colsample_bytree', 0.1870471358367638), ('gamma', 0.0001717764390722999), ('lambda', 3.535710042142777e-05), ('learning_rate', 0.027503210440228108), ('max_depth', 17), ('min_child_weight', 6), ('n_estimators', 73), ('subsample', 0.9438912542272697)])"
7,0.9096545615589017,0.874113475177305,0.8882978723404256,0.8906942392909897,0.01460921653800915,26,0.728470245997111,0.00014610907483776598,0.016403913497924805,0.0002063509703093372,7.003402338794183e-07,0.7649914723977279,0.015029751458901291,0.0035582900404887425,0.18721863266560737,2,5,50,0.5657522887795485,"OrderedDict([('alpha', 7.003402338794183e-07), ('colsample_bytree', 0.7649914723977279), ('gamma', 0.015029751458901291), ('lambda', 0.0035582900404887425), ('learning_rate', 0.18721863266560737), ('max_depth', 2), ('min_child_weight', 5), ('n_estimators', 50), ('subsample', 0.5657522887795485)])"
8,0.9397697077059345,0.9281914893617021,0.9228723404255319,0.9302806499261448,0.007055153123602668,12,2.6672163009643555,0.10980569018761435,0.01623686154683431,6.855887357772096e-05,1.063691222396563e-05,0.5666965754517326,0.03431344193351762,0.14470390515416198,0.06949980334805778,10,3,96,0.6665270013623132,"OrderedDict([('alpha', 1.063691222396563e-05), ('colsample_bytree', 0.5666965754517326), ('gamma', 0.03431344193351762), ('lambda', 0.14470390515416198), ('learning_rate', 0.06949980334805778), ('max_depth', 10), ('min_child_weight', 3), ('n_estimators', 96), ('subsample', 0.6665270013623132)])"
9,0.9317980513728964,0.9273049645390071,0.9317375886524822,0.9302806499261448,0.0021038059635989054,12,1.966694434483846,0.02302791411039221,0.011008103688557943,0.007786115240954348,1.1176346558801303e-08,0.7060830767861989,0.0002775173143273028,0.7884064568114199,0.5199784343596193,8,7,96,0.9782870712898664,"OrderedDict([('alpha', 1.1176346558801303e-08), ('colsample_bytree', 0.7060830767861989), ('gamma', 0.0002775173143273028), ('lambda', 0.7884064568114199), ('learning_rate', 0.5199784343596193), ('max_depth', 8), ('min_child_weight', 7), ('n_estimators', 96), ('subsample', 0.9782870712898664)])"
