,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_grow_policy,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,params
0,0.9238263950398583,0.9397163120567376,0.9157801418439716,0.926440177252585,0.009943881938905033,22,1.5371370315551758,0.022532937212460757,0.05009603500366211,0.012020972191450298,0.702644992444359,2,Lossguide,154,16,0.5995850697313659,3.8447832291713815e-09,"OrderedDict([('bagging_temperature', 0.702644992444359), ('depth', 2), ('grow_policy', 'Lossguide'), ('iterations', 154), ('l2_leaf_reg', 16), ('learning_rate', 0.5995850697313659), ('random_strength', 3.8447832291713815e-09)])"
1,0.9397697077059345,0.9414893617021277,0.9352836879432624,0.938847858197932,0.0026156799528797075,7,6.229645252227783,0.12165353060144692,0.05696479479471842,0.004959041507664615,0.6835574398742915,4,Depthwise,440,13,0.3110826353532231,2.749734943636558e-09,"OrderedDict([('bagging_temperature', 0.6835574398742915), ('depth', 4), ('grow_policy', 'Depthwise'), ('iterations', 440), ('l2_leaf_reg', 13), ('learning_rate', 0.3110826353532231), ('random_strength', 2.749734943636558e-09)])"
2,0.8981399468556245,0.9175531914893617,0.8723404255319149,0.8960118168389956,0.018516610402676367,28,1.556583086649577,0.009105335909429007,0.042864481608072914,0.008177424631993767,0.8303990122072878,1,SymmetricTree,287,15,0.23962674706412077,0.007389231992179819,"OrderedDict([('bagging_temperature', 0.8303990122072878), ('depth', 1), ('grow_policy', 'SymmetricTree'), ('iterations', 287), ('l2_leaf_reg', 15), ('learning_rate', 0.23962674706412077), ('random_strength', 0.007389231992179819)])"
3,0.937112488928255,0.9459219858156028,0.9290780141843972,0.937370753323486,0.006877933829106517,11,8.942469358444214,0.3217956744487591,0.05748597780863444,0.006867074591709477,0.7034400418549065,5,Depthwise,408,14,0.558142285946129,8.384782344882137,"OrderedDict([('bagging_temperature', 0.7034400418549065), ('depth', 5), ('grow_policy', 'Depthwise'), ('iterations', 408), ('l2_leaf_reg', 14), ('learning_rate', 0.558142285946129), ('random_strength', 8.384782344882137)])"
4,0.9344552701505757,0.9414893617021277,0.9290780141843972,0.9350073855243722,0.005081196463129948,16,8.038989941279093,0.15231774146590807,0.050213893254597984,0.013612199881701327,0.8776851319206269,4,Depthwise,575,15,0.08052820767874733,0.023312861722486457,"OrderedDict([('bagging_temperature', 0.8776851319206269), ('depth', 4), ('grow_policy', 'Depthwise'), ('iterations', 575), ('l2_leaf_reg', 15), ('learning_rate', 0.08052820767874733), ('random_strength', 0.023312861722486457)])"
5,0.9034543844109831,0.9210992907801419,0.9033687943262412,0.9093057607090104,0.008337510686877497,27,7.79414423306783,0.05742604648652917,0.04972243309020996,0.00420549740270768,0.9675657964283417,5,Lossguide,206,20,0.010437105746320277,0.006035789752463445,"OrderedDict([('bagging_temperature', 0.9675657964283417), ('depth', 5), ('grow_policy', 'Lossguide'), ('iterations', 206), ('l2_leaf_reg', 20), ('learning_rate', 0.010437105746320277), ('random_strength', 0.006035789752463445)])"
6,0.9202834366696191,0.9379432624113475,0.9273049645390071,0.9285081240768095,0.007260122873928322,18,3.017535924911499,0.02048153177642646,0.056284427642822266,0.008704706247369172,0.6497179282036988,2,Lossguide,385,8,0.4297767320932693,0.0004204165641133956,"OrderedDict([('bagging_temperature', 0.6497179282036988), ('depth', 2), ('grow_policy', 'Lossguide'), ('iterations', 385), ('l2_leaf_reg', 8), ('learning_rate', 0.4297767320932693), ('random_strength', 0.0004204165641133956)])"
7,0.9238263950398583,0.9290780141843972,0.924645390070922,0.9258493353028066,0.0023068773164537973,23,68.57592058181763,0.4122589704115274,0.05114515622456869,0.004649992902575245,0.31614545298544944,8,SymmetricTree,550,20,0.011832839672071098,8.442528325696921e-05,"OrderedDict([('bagging_temperature', 0.31614545298544944), ('depth', 8), ('grow_policy', 'SymmetricTree'), ('iterations', 550), ('l2_leaf_reg', 20), ('learning_rate', 0.011832839672071098), ('random_strength', 8.442528325696921e-05)])"
8,0.9424269264836138,0.9397163120567376,0.9343971631205674,0.938847858197932,0.003335372162355558,7,26.363877693812054,0.027830820751002277,0.05144588152567545,0.00797437836660679,0.4474239528275963,6,SymmetricTree,683,14,0.08786158413988417,2.1895652968697026e-06,"OrderedDict([('bagging_temperature', 0.4474239528275963), ('depth', 6), ('grow_policy', 'SymmetricTree'), ('iterations', 683), ('l2_leaf_reg', 14), ('learning_rate', 0.08786158413988417), ('random_strength', 2.1895652968697026e-06)])"
9,0.941541186891054,0.9468085106382979,0.9370567375886525,0.9418020679468242,0.003984832529395509,2,36.0935894648234,0.9026339529479642,0.0629137357076009,0.0009403055734097845,0.11647776222456444,7,Lossguide,744,26,0.05067393567780821,0.021594803807743077,"OrderedDict([('bagging_temperature', 0.11647776222456444), ('depth', 7), ('grow_policy', 'Lossguide'), ('iterations', 744), ('l2_leaf_reg', 26), ('learning_rate', 0.05067393567780821), ('random_strength', 0.021594803807743077)])"
10,0.9255978742249779,0.9326241134751773,0.925531914893617,0.9279172821270311,0.0033276039401213685,20,6.353562037150065,0.04597193161433624,0.04576770464579264,0.004339578566120242,0.46148637123108943,2,Lossguide,882,2,1.0,1e-09,"OrderedDict([('bagging_temperature', 0.46148637123108943), ('depth', 2), ('grow_policy', 'Lossguide'), ('iterations', 882), ('l2_leaf_reg', 2), ('learning_rate', 1.0), ('random_strength', 1e-09)])"
